post_id,influencer_id,post_datetime,content_type,post_format,follower_count,authority_log,verified,account_age_years,early_window_mins,early_likes,early_comments,early_shares,early_total_engagement,early_engagement_velocity,early_comment_share_ratio,persuasive_power_index,reach,impressions,impressions_per_reach,exposure_persistence_hours,reach_growth_rate,algorithmic_amplification_index,very_high_reach,total_likes,total_comments,total_shares,link_clicks,saves,profile_visits,click_through_rate,save_rate,engagement_success_index,low_effort_engagement,high_effort_engagement
1,218,2024-11-06 00:00:00,informational,image,23463,10.06317999,0,8.81,60,25,4,0,29,0.483333333,5,-0.809173135,10966,12413,1.132,4.98,0.122,-0.490241233,0,25,0,2,0,2,6,0,0.000182,0.442417451,25,8
2,729,2024-09-11 00:00:00,promotional,video,17331,9.760252084,0,6.51,60,29,5,1,35,0.583333333,3,-0.691564962,9966,9966,1,7.2,0.088,-0.146071303,0,29,6,1,0,1,1,0,0.0001,-0.180865722,29,2
3,632,2025-06-02 00:00:00,experiential,image,137249,11.82955207,1,5.12,60,69,17,3,89,1.483333333,4.5,0.223824471,20173,21530,1.067,5.01,0.093,-0.037962355,0,518,4,1,10,3,5,0.000496,0.000149,1.986843477,518,18
4,175,2024-09-22 00:00:00,promotional,video,39210,10.5766871,1,10.92,60,121,14,0,135,2.25,15,0.356328014,15152,16626,1.097,6.45,0.205,0.089968723,0,121,2,0,1,0,0,0.000066,0,-0.398098621,121,1
5,23,2025-08-31 00:00:00,informational,video,31810,10.36753598,0,3.79,60,64,2,3,69,1.15,0.75,-0.470355369,4212,6476,1.538,8.05,0.087,-0.398473166,0,64,11,0,0,0,1,0,0,-0.598162216,64,1
6,725,2024-11-27 00:00:00,informational,video,35273,10.47087308,1,9.79,60,62,7,2,71,1.183333333,2.666666667,-0.310291606,4388,7567,1.724,5.57,0.223,-0.790986469,0,62,2,1,0,0,0,0,0,-0.807960728,62,0
7,235,2025-06-09 00:00:00,experiential,video,253709,12.44394322,1,9.77,60,116,3,29,148,2.466666667,0.133333333,1.099355432,103791,110618,1.066,5.03,0.367,1.258092305,1,4717,7,1,1,0,9,0.00001,0,0.29883695,4717,10
8,13,2024-03-19 00:00:00,experiential,video,37872,10.54196733,0,4.78,60,124,7,12,143,2.383333333,0.615384615,0.595112587,41846,55999,1.338,5.95,0.247,0.906812666,0,124,7,0,0,0,0,0,0,-0.807960728,124,0
9,101,2025-09-09 00:00:00,experiential,image,7220,8.884610232,0,7.89,60,22,0,6,28,0.466666667,0.142857143,-0.745780931,4452,11169,2.509,7.47,0.074,-0.114883081,0,22,2,3,0,0,0,0,0,-0.807960728,22,0
10,536,2025-06-21 00:00:00,promotional,image,31176,10.34740385,0,6.09,60,213,4,2,219,3.65,1.666666667,0.703526574,4504,7681,1.705,5.91,0.157,-0.698909641,0,213,1,1,1,0,0,0.000222,0,-0.398098621,213,1
11,523,2024-06-03 00:00:00,informational,video,15327,9.637371258,0,7.82,60,44,7,0,51,0.85,8,-0.53383865,4901,8510,1.736,7.46,0.014,-0.302785278,0,44,9,0,0,0,0,0,0,-0.807960728,44,0
12,785,2024-04-16 00:00:00,experiential,video,52041,10.85978715,1,3.34,60,102,2,5,109,1.816666667,0.5,-0.095143305,11746,26555,2.261,7.48,0.134,0.575904099,0,102,3,0,6,3,0,0.000511,0.000255,1.177260662,102,9
13,452,2024-08-18 00:00:00,informational,video,77276,11.25513871,0,1.32,60,35,2,10,47,0.783333333,0.272727273,-0.385599804,2474,5102,2.062,5.63,0.244,-1.103779912,0,91,6,0,1,0,0,0.000404,0,-0.398098621,91,1
14,431,2025-12-13 00:00:00,informational,image,9106,9.116688816,0,4.14,60,44,6,0,50,0.833333333,7,-0.577589555,3495,7098,2.031,7.07,0.093,-0.53413275,0,44,12,3,0,0,0,0,0,-0.807960728,44,0
15,793,2024-07-06 00:00:00,experiential,carousel,39010,10.5715733,1,9.57,60,23,0,3,26,0.433333333,0.25,-0.86877047,11865,30580,2.577,5.97,0.114,0.3722224,0,23,3,1,0,0,0,0,0,-0.807960728,23,0
16,606,2024-11-28 00:00:00,experiential,image,194230,12.1767983,0,3.82,60,104,10,8,122,2.033333333,1.222222222,0.400603231,20077,24315,1.211,5.09,0.259,0.057212402,0,721,4,0,4,2,11,0.000199,0.0001,1.557228705,721,17
